,car_titlem,car_price,car_description,car_location
135,Kia Optima,5 900 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, Kia Optima престиж! Учет Рф стс птс все есть! Торг возле машины! Новая зимня...",Нур-Султан (Астана)
136,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, ветровики, панорамная крыша,...",Актобе
137,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, обвес, панорамная крыша, тон...",Атырау
138,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, ветровики, панорамная крыша,...",Уральск
139,Kia Optima,4 500 000 ₸,"2015 г., седан, 2.4 л, бензин, КПП автомат, 72 098 км, синий, металлик, литые диски, тонировка, противотуманки, обогре...",Алматы
140,Kia Optima,7 000 000 ₸,"2014 г., седан, 2.5 л, бензин, КПП автомат, 42 000 км, белый, литые диски, панорамная крыша, тонировка, люк, ветровики...",Нур-Султан (Астана)
141,Kia Optima,6 000 000 ₸,"2012 г., седан, 2.4 л, газ-бензин, КПП типтроник, 86 000 км, белый, Машина вся в родной краске даже бампера. Самая пол...",Алматы
142,Kia Optima,7 000 000 ₸,"2014 г., седан, 2.4 л, бензин, КПП типтроник, 132 000 км, черный, металлик, Корейская сборка, самая полная комплектаци...",Караганда
143,Kia Optima,6 800 000 ₸,"2014 г., седан, 2.4 л, бензин, КПП автомат, 105 000 км, белый, литые диски, панорамная крыша, тонировка, люк, ветровик...",Алматы
144,Kia Optima,4 700 000 ₸,"2013 г., седан, 2.4 л, бензин, КПП автомат, 123 919 км, черный, металлик, люк, литые диски, панорамная крыша, тонировк...",Атырау
145,Kia Optima,4 500 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП типтроник, 134 218 км, черный, ксенон, противотуманки, дерево, полный электропакет,...",Актау
146,Kia Optima,9 600 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, белый, металлик, литые диски, хрустальная оптика, ксенон, линзованная оптика...",Алматы
147,Kia Optima,9 600 000 ₸,"Срочно, торгновая
2019 г., седан, 2 л, бензин, КПП автомат, белый, металлик, литые диски, ксенон, корректор фар, линзованная оптика, дне...",Алматы
148,Kia Optima,11 000 000 ₸,"Срочно, торгновая
2019 г., седан, 2 л, бензин, КПП типтроник, 200 км, серый, литые диски, панорамная крыша, рейлинги, багажник, линзован...",Нур-Султан (Астана)
149,Kia Optima,11 794 250 ₸,"новая
2019 г., седан, 2 л, бензин, КПП автомат, черный, металлик, литые диски, ксенон, линзованная оптика, дневные ходовые о...",Павлодар
150,Kia Optima,6 200 000 ₸,"2012 г., седан, 2.4 л, газ-бензин, КПП типтроник, 230 000 км, черный, металлик, литые диски, панорамная крыша, тониров...",Алматы
151,Kia Optima,5 800 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП автомат, 46 348 км, черный",Другой город в Армении
152,Kia Optima,4 350 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП автомат, 96 000 км, бронза, металлик, ветровики, литые диски, тонировка, обогрев зе...",Кокшетау
153,Kia Optima,8 100 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, 3 400 км, белый, КИА Оптима Год выпуска: 2019 Двигатель: 2, 0 (бензин, газ)....",Алматы
154,Kia Optima,5 700 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП типтроник, 55 000 км, черный, велюр, аудиосистема, CD, MP3, USB, встроенный телефон...",Кокшетау
155,Kia Optima,5 900 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, Kia Optima престиж! Учет Рф стс птс все есть! Торг возле машины! Новая зимня...",Нур-Султан (Астана)
